GEOID,cGrade,dGrade,cdGrade,ALAND,totalPop,totalPop_m,white,white_m,black,black_m,otherRace,medianInc,medianInc_m,poverty,poverty_m,povertyB,povertyB_m,medicaid,house,house_m,tanf,tanf_m,tanfProp,snap,snap_m,snapProp,own,own_m,ownProp,rent,rent_m,rentProp,unins.x,unins_ml.x,unins_mh.x,asthma,asthma_ml,asthma_mh,obesity,obesity_ml,obesity_mh,dental,dental_ml,dental_mh,unins.y,unins_ml.y,unins_mh.y
29510107200,0,0,0,655395,1364,369,5,8,1340,371,19,23242,4447,510,312,510,312,400,511,78,30,20,0.05870841487279843,229,73,0.4481409001956947,240,69,0.46966731898238745,271,70,0.5303326810176126,28.3,23.9,33,13.7,12.7,14.7,47.9,46.4,49.2,34.9,30.3,39.2,28.3,23.9,33
29510106700,561402.1589219198,0,561402.1589219198,1238491,3121,571,2,3,3063,572,56,21597,9136,1467,530,1410,529,1022,1325,159,67,49,0.050566037735849056,515,125,0.3886792452830189,565,126,0.42641509433962266,760,128,0.5735849056603773,24.2,21.2,27.2,12.7,12.1,13.4,46.3,45,47.5,38.3,34.8,41.6,24.2,21.2,27.2
29510107400,0,0,0,1085096,2895,375,28,35,2852,379,15,24601,4372,1054,296,1054,296,1156,891,91,45,35,0.050505050505050504,476,78,0.5342312008978676,519,80,0.5824915824915825,372,82,0.4175084175084175,31.4,26.7,35.9,14.1,13,15.3,49.2,47.7,50.5,33.1,28.9,37,31.4,26.7,35.9
29510107500,0,0,0,911762,2192,312,25,31,2145,319,22,25662,9137,625,203,619,202,573,818,116,40,31,0.0488997555012225,218,62,0.2665036674816626,569,81,0.69559902200489,249,108,0.30440097799511,24.1,21.3,27.3,12.6,11.9,13.4,44.8,43.7,45.8,41.2,38.1,44.6,24.1,21.3,27.3
29510107600,0,0,0,1145923,2021,263,48,69,1968,268,5,20988,3953,613,198,608,198,474,826,76,56,27,0.06779661016949153,297,69,0.3595641646489104,473,65,0.572639225181598,353,77,0.42736077481840196,24.2,19.7,28.7,12.7,11.8,13.7,45.8,44.1,47.3,36.2,31.4,41.1,24.2,19.7,28.7
29510111100,4235.378049582243,1086631.9471917152,1090867.3252412975,1090869,1859,357,75,78,1763,347,21,30417,9558,820,295,778,286,554,665,72,57,45,0.08571428571428572,308,79,0.4631578947368421,212,66,0.318796992481203,453,91,0.681203007518797,25.7,22.6,29,12.9,12.3,13.6,48.5,47.2,49.6,36.5,33.3,40.2,25.7,22.6,29
29510111200,459216.6958462745,588246.2658213489,1047462.9616676234,1047465,934,185,60,58,853,158,21,21316,1939,456,192,436,185,360,338,70,40,34,0.11834319526627218,160,69,0.47337278106508873,143,47,0.4230769230769231,195,71,0.5769230769230769,27.9,24,31.9,12.9,12,13.9,47.1,45.6,48.3,32.3,28.6,36.3,27.9,24,31.9
29510111300,197829.1528178528,753292.4795977995,951121.6324156523,951121,1349,214,4,6,1345,214,0,21906,4651,320,112,320,112,519,761,88,5,10,0.006570302233902759,280,82,0.3679369250985545,224,61,0.2943495400788436,537,91,0.7056504599211564,28.7,24.3,33,13.4,12.4,14.3,46.7,45.3,48,34.2,30.4,38.4,28.7,24.3,33
29510111400,613361.9182999134,298148.7925931886,911510.710893102,911511,1358,331,11,6,1316,333,31,28458,9569,483,313,448,314,526,469,66,16,16,0.03411513859275053,229,79,0.488272921108742,193,66,0.4115138592750533,276,64,0.5884861407249466,24.6,20.4,29.3,13.1,12.1,14.2,45.7,43.9,47.3,35.8,31,40.7,24.6,20.4,29.3
29510111500,336209.9042258854,452133.79713959247,788343.7013654779,788344,694,89,1,4,677,104,16,32786,7927,278,85,277,84,223,260,45,5,7,0.019230769230769232,103,49,0.39615384615384613,134,42,0.5153846153846153,126,43,0.4846153846153846,26.7,23.6,30,13,12.4,13.7,47.3,45.9,48.5,34.8,31.9,38.1,26.7,23.6,30
29510112200,581877.9572199136,0,581877.9572199136,695233,1632,294,136,61,1496,288,0,21053,6158,606,232,596,233,592,592,67,20,22,0.033783783783783786,251,68,0.4239864864864865,238,60,0.40202702702702703,354,67,0.597972972972973,23.4,20.6,26.2,12.6,12,13.2,44.5,43.4,45.6,41.4,38,44.9,23.4,20.6,26.2
29510115400,256216.79341511428,0,256216.79341511428,978835,3312,411,1988,353,847,279,477,33942,8795,910,339,299,172,946,1158,116,47,34,0.04058721934369603,394,121,0.34024179620034545,695,99,0.6001727115716753,463,112,0.3998272884283247,20.4,17.6,23.3,10.5,9.9,11.2,34,32.8,35.1,52,47.7,56,20.4,17.6,23.3
29510115500,936593.4480214119,256081.49271512032,1192674.9407365322,1215464,6446,837,2416,518,3748,846,282,22319,7084,2718,801,1646,771,2654,2481,213,73,59,0.029423619508262798,1035,264,0.41717049576783555,831,197,0.3349455864570738,1650,240,0.6650544135429263,24.4,21.5,27.4,11.8,11.2,12.5,40.6,39.3,41.8,44.4,40.8,48,24.4,21.5,27.4
29510115600,2070.4632110595703,1237898.9628724034,1239969.426083463,1833609,4813,615,2167,391,2237,434,409,20020,4489,1667,522,883,367,1759,2054,218,71,56,0.03456669912366115,844,195,0.41090555014605645,580,149,0.28237585199610515,1474,240,0.7176241480038948,28.2,25,31.3,12,11.4,12.8,40.1,38.9,41.2,39.8,36.3,43.6,28.2,25,31.3
29510119200,1717.4746746718884,730441.5727285296,732159.0474032015,733653,2008,182,817,174,1079,250,112,39107,15353,419,189,292,191,352,928,92,74,79,0.07974137931034483,221,85,0.23814655172413793,442,65,0.47629310344827586,486,81,0.5237068965517241,14.8,12.1,17.6,10.2,9.6,10.8,33.8,32.5,35.3,61.2,57.4,65,14.8,12.1,17.6
29510119300,244229.28685370833,662448.0244448185,906677.3112985268,1179813,4109,351,2164,263,1130,190,815,17979,3839,1126,221,221,97,405,1293,132,16,18,0.01237432327919567,207,71,0.16009280742459397,52,38,0.04021655065738593,1241,144,0.9597834493426141,20.6,16.2,27.3,11.5,10.3,13.2,26.2,24.1,28.2,48.8,40.6,55.7,20.6,16.2,27.3
29510120200,451211.19412359595,128217.54974719882,579428.7438707948,579429,1470,265,161,126,1248,252,61,14435,10281,795,280,732,269,770,444,58,26,17,0.05855855855855856,225,64,0.5067567567567568,128,41,0.2882882882882883,316,54,0.7117117117117117,29.4,24.4,34.9,13.4,12.3,14.6,46,44.1,47.7,28.9,24.3,33.9,29.4,24.4,34.9
29510114200,5604.240164548159,0,5604.240164548159,1512784,4721,372,3946,453,397,190,378,50238,7303,785,346,106,131,602,2482,129,67,64,0.026994359387590653,211,117,0.08501208702659147,1394,175,0.5616438356164384,1088,176,0.4383561643835616,11.7,9.2,14.8,9.1,8.5,9.7,27.7,26.1,29.3,64.3,59.4,69.1,11.7,9.2,14.8
29510114300,0,0,0,1366902,5162,308,4611,344,268,193,283,63964,8704,316,177,128,146,201,2508,159,24,38,0.009569377990430622,106,76,0.04226475279106858,1936,193,0.7719298245614035,572,176,0.22807017543859648,9.2,7,12.3,8.5,8,9.2,25.4,23.8,27.1,71.1,66.6,75.1,9.2,7,12.3
29510115100,3966.999598841765,0,3966.999598841765,1145336,4177,359,3395,345,475,134,307,29215,5279,1008,242,312,123,930,1805,106,26,23,0.014404432132963989,465,136,0.25761772853185594,1051,135,0.5822714681440443,754,127,0.41772853185595565,20.2,17.3,23.6,10.6,9.9,11.3,33.2,31.9,34.5,51.7,47.3,55.8,20.2,17.3,23.6
