GEOID,cGrade,dGrade,cdGrade,ALAND,totalPop,totalPop_m,white,white_m,black,black_m,otherRace,medianInc,medianInc_m,poverty,poverty_m,povertyB,povertyB_m,medicaid,house,house_m,tanf,tanf_m,tanfProp,snap,snap_m,snapProp,own,own_m,ownProp,rent,rent_m,rentProp,unins.x,unins_ml.x,unins_mh.x,asthma,asthma_ml,asthma_mh,obesity,obesity_ml,obesity_mh,dental,dental_ml,dental_mh,unins.y,unins_ml.y,unins_mh.y
29510116301,0,0,0,645676,3634,376,2592,342,703,277,339,60938,8924,476,193,226,158,729,1442,85,40,37,0.027739251040221916,179,80,0.12413314840499307,781,106,0.5416088765603329,661,116,0.45839112343966715,14.1,11.6,17.2,9.5,9,10,30.3,28.8,31.7,60.1,55.6,64.3,14.1,11.6,17.2
29510119101,490394.9123350587,0,490394.9123350587,506383,2787,265,1489,223,992,217,306,37188,10713,827,285,373,184,537,1755,130,27,43,0.015384615384615385,385,113,0.21937321937321938,462,75,0.26324786324786326,1293,146,0.7367521367521368,14.3,11.6,17.5,9.5,9,10.1,31.1,29.8,32.4,56.9,52.5,60.7,14.3,11.6,17.5
29510114101,614.8282073661685,0,614.8282073661685,949541,4307,384,3066,351,960,353,281,41597,7129,524,225,193,172,554,2288,163,0,11,0,331,157,0.14466783216783216,836,165,0.36538461538461536,1452,222,0.6346153846153846,15.3,13,17.7,9.7,9.2,10.3,31.1,29.7,32.3,59.4,55.7,62.9,15.3,13,17.7
29510127100,1221.1199137568474,1740197.2044789747,1741418.3243927315,1741414,1991,288,82,56,1894,288,15,20106,3704,864,247,823,244,840,830,82,11,13,0.01325301204819277,431,78,0.519277108433735,239,61,0.28795180722891567,591,95,0.7120481927710843,28.9,25.4,32.4,13.9,13.1,14.7,48.8,47.6,49.9,32.8,29.6,36.4,28.9,25.4,32.4
29510127200,938719.5193129629,0,938719.5193129629,2019032,4331,586,3195,361,885,558,251,40502,3546,621,314,106,77,523,2183,148,41,44,0.018781493357764543,176,97,0.08062299587723316,1020,156,0.467246907924874,1163,177,0.532753092075126,13.4,10.8,16.1,9.2,8.7,9.8,28.6,27.2,30.1,63.7,59.2,68,13.4,10.8,16.1
29510127300,384642.7457780838,1407239.6262636185,1791882.3720417023,2140371,3655,387,1267,282,2243,341,145,31719,12116,1127,350,750,306,876,1606,130,7,11,0.0043586550435865505,388,116,0.24159402241594022,603,115,0.37546699875467,1003,133,0.6245330012453301,17,14.7,19.4,11,10.6,11.6,36.5,35.4,37.7,53.8,50.4,56.9,17,14.7,19.4
29510127500,0,1010271.4977314478,1010271.4977314478,1779256,2476,306,422,96,2047,310,7,27071,5063,786,319,744,311,621,1333,96,0,11,0,355,106,0.2663165791447862,120,45,0.0900225056264066,1213,109,0.9099774943735934,20.1,17.2,23.3,11.5,11,12.2,39.3,38,40.6,42.9,39.1,46.7,20.1,17.2,23.3
29510127600,0,2443733.782794833,2443733.782794833,2970225,2957,255,2243,226,590,217,124,51195,4726,413,147,208,121,295,1886,132,18,21,0.009544008483563097,175,96,0.09278897136797455,547,113,0.2900318133616119,1339,138,0.7099681866383881,11.5,9,14.9,8.7,8.2,9.4,27.8,26.2,29.6,66.8,61.8,71.3,11.5,9,14.9
29510106400,25942.27262943983,0,25942.27262943983,1106529,2032,298,22,33,1994,295,16,20806,4269,668,266,652,264,639,900,131,42,37,0.04666666666666667,361,111,0.4011111111111111,330,80,0.36666666666666664,570,127,0.6333333333333333,25.9,22.8,29.3,13.1,12.4,13.8,46.7,45.5,47.8,38.6,35.7,41.7,25.9,22.8,29.3
29510125600,0,0,0,2158590,4548,545,2072,382,2125,517,351,54042,6761,701,454,463,442,530,2777,212,0,11,0,269,137,0.09686712279438242,203,119,0.0731004681310767,2574,230,0.9268995318689233,13.4,11.2,15.9,8.8,8.4,9.3,29.5,28.3,30.7,63.4,60,66.8,13.4,11.2,15.9
29510125700,0,389354.8261850178,389354.8261850178,1306149,3708,361,65,59,3635,361,8,11997,2809,2272,449,2243,448,2203,1524,110,138,84,0.09055118110236221,866,146,0.568241469816273,60,38,0.03937007874015748,1464,107,0.9606299212598425,31.5,26.1,37.1,15.3,14.1,16.8,48.7,46.9,50.3,29.1,24.5,33.8,31.5,26.1,37.1
29510123300,106188.59991527628,811805.3984932601,917993.9984085364,917993,3029,236,2007,204,957,217,65,54766,12587,400,199,254,196,464,1449,117,5,8,0.003450655624568668,178,76,0.12284334023464458,576,104,0.39751552795031053,873,125,0.6024844720496895,12.6,10.4,15.2,9.4,9,9.9,29.8,28.5,31,64.3,60.7,67.6,12.6,10.4,15.2
29510124100,563189.2726608664,416282.45030653477,979471.7229674011,1053217,5506,800,1523,333,3564,767,419,23077,7338,2221,699,1406,616,2675,1784,163,133,83,0.07455156950672645,921,194,0.5162556053811659,532,93,0.2982062780269058,1252,190,0.7017937219730942,29.8,25.5,33.8,12.8,12,13.7,44.1,42.7,45.3,34.8,31,38.6,29.8,25.5,33.8
29510124200,349842.9972166121,447648.60653853416,797491.6037551463,797492,3551,534,949,239,2152,404,450,26838,11654,1428,465,1128,372,1275,1311,135,33,38,0.02517162471395881,551,126,0.42028985507246375,444,99,0.33867276887871856,867,142,0.6613272311212814,27.3,23.8,31,12.1,11.4,12.9,41,39.7,42.2,40.1,36.5,43.8,27.3,23.8,31
29510124300,0,920684.7872084677,920684.7872084677,1168451,3117,281,2255,230,724,206,138,53464,15358,578,179,159,99,455,1541,130,45,43,0.029201817001946788,194,67,0.12589227774172615,886,125,0.5749513303049968,655,132,0.42504866969500327,13.8,11.3,16.5,9.4,8.9,9.9,31,29.5,32.5,59.2,54.6,63.7,13.8,11.3,16.5
29510123200,160605.33881436288,952670.7825473249,1113276.1213616878,1113277,2407,203,1603,157,684,156,120,55729,15808,434,96,310,92,463,1375,93,54,62,0.03927272727272727,269,84,0.19563636363636364,508,82,0.3694545454545455,867,114,0.6305454545454545,11.7,9.7,14.1,9.4,9,9.9,30.9,29.6,32.4,63.1,59.1,66.7,11.7,9.7,14.1
29510124600,0,894690.1984196156,894690.1984196156,2151491,1780,211,528,106,1182,180,70,15667,3605,1026,226,839,213,792,700,71,22,23,0.03142857142857143,381,74,0.5442857142857143,178,46,0.2542857142857143,522,79,0.7457142857142857,30.1,26.7,33.8,12.9,12.1,13.7,44.4,43.1,45.6,34.6,31.6,38,30.1,26.7,33.8
29510125500,0,0,0,1099392,2976,276,1816,212,880,220,280,57050,8148,438,162,176,99,73,2054,183,12,18,0.005842259006815969,77,69,0.037487828627069134,382,112,0.18597857838364168,1672,181,0.8140214216163584,11.5,9.1,14.4,8.5,8.1,9.1,28.8,27.2,30.4,64.1,59.7,68.2,11.5,9.1,14.4
29510101800,182656.39234399796,1703501.7804525867,1886158.1727965847,2528233,3102,444,1955,367,1012,306,135,38333,6589,876,322,284,199,1075,1202,109,54,40,0.04492512479201331,450,107,0.37437603993344426,435,85,0.36189683860232946,767,106,0.6381031613976705,22.9,19.8,26.2,11.2,10.5,12,37.1,35.8,38.4,43.7,39.8,47.7,22.9,19.8,26.2
29510102100,34689.35021556169,0,34689.35021556169,1487343,2774,250,2202,210,355,240,217,45230,5949,286,157,84,115,398,1534,103,18,23,0.011734028683181226,188,103,0.12255541069100391,599,98,0.39048239895697523,935,133,0.6095176010430248,12.5,10,15.6,9.2,8.6,9.8,28.4,26.7,30,62.3,57.7,67.1,12.5,10,15.6
29510102200,31656.426613628864,0,31656.426613628864,2561590,5966,394,5743,415,54,61,169,68537,12085,284,128,3,7,135,2958,122,47,42,0.015889114266396213,89,55,0.03008789722785666,2172,179,0.7342799188640974,786,147,0.2657200811359026,9,7.1,11.4,8.5,8,9,25.7,24.2,27.2,71.5,67.5,75,9,7.1,11.4
29510101100,288968.6683894545,0,288968.6683894545,1197182,2514,227,1985,194,133,134,396,56506,9046,282,144,0,11,251,1067,82,33,25,0.030927835051546393,132,46,0.12371134020618557,901,98,0.8444236176194939,166,65,0.15557638238050608,13.2,11.7,14.7,9.1,8.8,9.5,28.3,27.4,29.1,62.4,59.7,65,13.2,11.7,14.7
29510101200,199940.05999708176,0,199940.05999708176,1073333,3376,241,2942,324,233,185,201,54828,9400,423,284,12,16,541,1478,91,75,40,0.05074424898511502,186,94,0.12584573748308525,1141,103,0.7719891745602165,337,121,0.2280108254397835,11.7,9.4,14.2,8.7,8.2,9.3,27.6,26,29.1,66.1,62,69.9,11.7,9.4,14.2
29510101300,125726.69327366352,0,125726.69327366352,1974056,3972,372,3334,302,539,323,99,54775,9721,178,105,62,72,185,1844,147,32,36,0.01735357917570499,200,102,0.10845986984815618,1407,143,0.7630151843817787,437,121,0.23698481561822127,10.6,8.7,12.9,8.8,8.3,9.4,27.3,25.8,28.8,68.6,64.1,73,10.6,8.7,12.9
29510101400,438464.6433364451,4725.959929704666,443190.60326614976,859993,2711,267,1647,216,779,229,285,39671,4303,600,284,190,169,328,1148,96,35,33,0.03048780487804878,239,74,0.20818815331010454,734,97,0.6393728222996515,414,121,0.3606271777003484,16.4,14.1,18.9,10.1,9.5,10.6,34,32.7,35.2,58.3,54.4,62.2,16.4,14.1,18.9
29510101500,1096126.820750624,545655.8378648758,1641782.6586154997,1665843,3937,640,1968,548,1736,489,233,28689,3526,1342,466,898,399,1721,1453,148,95,57,0.0653819683413627,591,186,0.40674466620784583,371,77,0.2553337921541638,1082,158,0.7446662078458361,23.3,20.3,26.3,11.7,11,12.4,37.1,36,38.2,42.4,39.1,45.8,23.3,20.3,26.3
29510102300,0,0,0,1282333,2027,205,1765,209,45,47,217,54583,8097,386,212,34,41,355,888,51,21,14,0.02364864864864865,84,47,0.0945945945945946,677,61,0.7623873873873874,211,62,0.2376126126126126,14.4,12.1,16.8,9.3,8.8,9.8,29.3,28,30.4,62.7,59.1,66.3,14.4,12.1,16.8
29510102400,0,0,0,584695,2579,219,2382,221,163,150,34,38676,5550,701,289,76,106,589,1132,60,54,49,0.04770318021201413,288,76,0.254416961130742,585,104,0.5167844522968198,547,96,0.4832155477031802,16.8,14.1,20.1,10.1,9.5,10.8,32.4,30.9,33.9,55.9,51.3,60.5,16.8,14.1,20.1
29510108100,0,0,0,3214656,3208,429,101,84,3073,433,34,30990,5310,1055,459,1054,460,1276,1100,116,61,42,0.05545454545454546,458,123,0.4163636363636364,641,120,0.5827272727272728,459,124,0.4172727272727273,22.6,18.5,26.8,12.6,11.6,13.7,43.8,42,45.2,43.6,38.6,48.7,22.6,18.5,26.8
29510103100,227155.36518968642,0,227155.36518968642,1188363,3097,304,2781,327,222,110,94,44771,4800,340,203,72,72,182,1659,130,24,21,0.014466546112115732,135,79,0.081374321880651,898,98,0.541289933694997,761,126,0.458710066305003,10.7,8.5,12.9,8.8,8.4,9.4,27.5,26.1,28.9,68.7,64.4,72.3,10.7,8.5,12.9
29510103400,0,0,0,909286,1876,163,1766,158,62,49,48,58500,14861,133,66,40,40,59,892,55,0,11,0,35,36,0.03923766816143498,618,77,0.6928251121076233,274,64,0.3071748878923767,10.4,8.2,13,8.8,8.3,9.4,27.5,25.7,29.2,69.4,65,73.3,10.4,8.2,13
29510102500,4342.373752355576,0,4342.373752355576,954053,2092,171,1775,180,93,45,224,45862,6001,279,109,20,19,241,1012,39,15,16,0.014822134387351778,156,65,0.1541501976284585,603,59,0.5958498023715415,409,60,0.4041501976284585,14.2,11.3,17.8,9.7,9,10.4,30.3,28.6,31.8,60.3,55.2,65.2,14.2,11.3,17.8
