GEOID,TRACTCE,ALAND,CDGRADE,WHITE,BLACK,OTHERRACE,DISSIM,MEDINC,POVERTY,POVERTYB,MEDICAID,TANF,SNAP,RENT,UNINS,ASTHMA,OBESITY,DENTAL,CDPROP
29510112100,112100,6936664,179756.3042420803,0.678665496049166,0.232001755926251,0.089332748024583,0.014455778221965,55313,0.136742756804214,0.054872695346795,0.082089552238806,0.012868410128684,0.067247820672478,0.603985056039851,0.097,0.086,0.257,0.691,0.025913941376154347
29510116500,116500,904024,871518.8361115456,0.437645564260004,0.409062036840991,0.153292398899005,0.001568415173839,39299,0.228668219352107,0.126402710141859,0.157738725386407,0.019003595274782,0.190549563430919,0.634309193631228,0.169,0.103,0.341,0.527,0.9640439148867127
29510110300,110300,938287,810198.3181467466,0.024777006937562,0.975222993062438,0,-0.012654405293462,19728,0.318136769078295,0.296828543111992,0.360753221010902,0.072805139186295,0.423982869379015,0.60813704496788,0.231,0.125,0.445,0.404,0.8634866710790479
29510103700,103700,910953,129862.88757544756,0.887247278382582,0.059875583203733,0.052877138413686,0.014805028657494,50781,0.086314152410575,0,0.081259720062208,0.026190476190476,0.06031746031746,0.36031746031746,0.113,0.086,0.273,0.675,0.14255717646843202
29510103800,103800,1640334,486604.8391733505,0.870471722700026,0.07375553818087,0.055772739119103,0.021288532728174,67260,0.038311180609851,0.001824341933802,0.084962210059943,0.006354708261121,0.046793760831889,0.258232235701906,0.105,0.088,0.27,0.673,0.2966498525137871
29510104500,104500,1939712,650626.5279101729,0.762611275964392,0.078338278931751,0.159050445103858,0.008037604056861,53750,0.146587537091988,5.93471810089e-4,0.061721068249258,0.034042553191489,0.108510638297872,0.584042553191489,0.115,0.086,0.266,0.661,0.3354242938694883
29510106100,106100,962321,962295.803494066,0.015846994535519,0.981420765027322,0.002732240437158,-0.011663736556876,18005,0.421311475409836,0.413661202185792,0.37103825136612,0.031685678073511,0.422053231939163,0.61850443599493,0.29,0.136,0.477,0.313,0.9999738169426481
29510105500,105500,1195555,254281.7966413051,0.035637918745545,0.950463292943692,0.013898788310763001,-0.016925490025657,36316,0.261938702779758,0.256949394155381,0.162508909479686,0.013888888888889,0.263888888888889,0.512037037037037,0.206,0.123,0.428,0.478,0.2126893339422319
29510105200,105200,831271,0,0.397019867549669,0.492715231788079,0.110264900662252,-0.001516745905478,50056,0.132781456953642,0.062251655629139,0.154966887417219,0.026422764227642,0.178861788617886,0.637533875338753,0.13,0.097,0.311,0.591,0
29510105300,105300,958213,161.13595621287823,0.094936708860759,0.857199367088608,0.047863924050633,-0.012651670472697,23246,0.280458860759494,0.260680379746835,0.229430379746835,0.037963761863676,0.395168248490078,0.642795513373598,0.201,0.121,0.428,0.418,1.681629827740578e-4
